Team,Team Score,Opponent,Opponent Score
W Carolina,70,High Point,65
WI Green Bay,94,Edwardsville,92
William & Mary,112,Savannah St,85
Wofford,75,Coastal Car,74
Wyoming,72,Troy,66
Arizona,77,New Mexico,46
Arkansas,71,N Dakota St,55
BYU,84,Idaho St,58
Creighton,96,Arizona St,85
Delaware,59,Marist,56
FL Gulf Coast,79,Louisiana Tech,78
Georgia,60,Georgia Tech,43
Grand Canyon,63,Alcorn St,53
IL Chicago,75,Northern Arizona,65
Iowa,84,North Dakota,73
Iowa St,88,MS Valley St,60
Lipscomb,99,Austin Peay,85
Manhattan,61,St Francis NY,54
Maryland,88,Charlotte,72
Monmouth NJ,96,Princeton,90
N Colorado,77,UC Riverside,61
N Illinois,59,South Florida,48
Nebraska,81,Southern Univ,76
North Texas,71,SE Louisiana,65
Northeastern,61,Oakland,59
Northwestern,87,IUPUI,65
Ohio St,77,Youngstown St,40
Oregon,75,Fresno St,63
Pacific,69,Kennesaw,56
Portland St,77,Portland,75
Providence,79,Maine,59
Richmond,75,James Madison,55
SMU,71,Albany NY,53
St Mary's CA,67,TAM C. Christi,46
TN Martin,77,Missouri KC,66
Toledo,74,Loyola-Chicago,70
ULL,90,Pepperdine,64
ULM,65,Coppin St,53
UNC Wilmington,81,East Carolina,71
Virginia Tech,87,Charleston So,59
Washington,77,Cal Poly SLO,61
West Virginia,84,Radford,57
Winthrop,86,Ga Southern,84
Xavier,85,E Washington,56
Akron,88,UC Irvine,80
Alabama,67,Arkansas St,52
Appalachian St,88,Hampton,67
Army,71,Binghamton,60
Auburn,74,Oklahoma,70
Baylor,89,TX Southern,63
Boise St,79,CS Northridge,62
Butler,81,Vermont,69
C Michigan,106,Montana St,103
Chattanooga,73,Jacksonville St,57
Clemson,62,South Carolina,60
Davidson,75,Jacksonville,60
Dayton,68,Vanderbilt,63
Drexel,91,Quinnipiac,74
Duke,72,Elon,61
Fairfield,89,Boston College,83
Florida,94,Ark Little Rock,71
Florida Intl,78,North Florida,54
Fordham,83,Central Conn,60
Georgia St,64,MTSU,56
Gonzaga,102,South Dakota,65
Holy Cross,72,Sacred Heart,67
Houston,77,Liberty,54
Illinois,75,Missouri,66
Indiana St,88,E Illinois,85
Iona,73,Santa Barbara,57
Kansas St,67,Gardner Webb,54
Louisville,73,Kentucky,70
MA Lowell,77,Boston Univ,75
Marquette,89,Edwardsville,56
MD E Shore,71,UTEP,66
Memphis,95,Incarnate Word,71
Michigan St,77,Oakland,65
Nevada,81,Towson,72
Niagara,75,Long Island,66
North Carolina,85,Northern Iowa,42
Oregon St,69,Kent,50
Penn St,96,Morgan St,55
Pittsburgh,94,NE Omaha,75
Purdue,91,Norfolk St,45
Robert Morris,74,Buffalo,71
San Jose St,92,Southern Utah,82
St John's,93,Syracuse,60
TCU,74,Bradley,42
Texas,96,UAB,60
Texas A&M,81,St Francis PA,58
Texas Tech,91,Longwood,60
UCF,71,Bethune-Cookman,41
UCLA,82,W Michigan,68
UT San Antonio,66,Utah Valley,60
Villanova,90,American Univ,48
Virginia,56,California,52
WKU,67,Ohio,66
Washington St,74,CS Sacramento,66
Weber St,77,Utah St,71
Air Force,77,UC Davis,67
Akron,76,MD E Shore,60
Arizona St,98,Cent Arkansas,62
Arkansas,90,Sam Houston St,56
Ball St,73,Alabama St,48
Belmont,88,Cleveland St,61
Bowling Green,74,Alabama A&M,61
Brown,82,Maine,77
BYU,81,CS Bakersfield,71
Campbell,81,Stetson,72
Canisius,106,St Bonaventure,101
Chicago St,74,SE Missouri St,65
Cincinnati,93,Marshall,91
Col Charleston,77,W Carolina,59
Colorado,76,E Washington,68
CS Fullerton,77,Portland,72
Dartmouth,75,Bryant,69
Denver,73,UC Riverside,55
Drake,101,MS Valley St,69
Duquesne,70,Colgate,57
East Carolina,76,Presbyterian,56
George Mason,75,Prairie View,59
Georgetown,78,UNC Greensboro,56
Georgia Tech,76,Wofford,72
Grand Canyon,89,Ark Pine Bluff,49
Hartford,63,Navy,54
Hofstra,84,Siena,64
Illinois St,71,Hawaii,45
Indiana,97,Austin Peay,62
Iowa,89,Delaware St,57
IPFW,93,Detroit,86
Kansas,71,UNLV,53
Kennesaw,68,NC A&T,60
La Salle,98,Mercer,96
Long Beach St,56,Colorado St,55
Manhattan,81,E Kentucky,54
Massachusetts,78,Rider,67
Miami FL,72,G Washington,64
Miami OH,66,Tennessee Tech,58
Michigan,68,Furman,62
Mississippi,92,South Alabama,58
Mississippi St,85,Morehead St,76
Montana,71,Pepperdine,70
Mt St Mary's,87,Coppin St,49
NC State,89,McNeese St,57
Nevada,67,Santa Barbara,66
Northwestern,72,Houston Bap,63
Ohio St,79,UNC Asheville,77
Oklahoma St,92,TAM C. Christi,70
Old Dominion,65,Howard,46
Princeton,72,Bucknell,70
Rhode Island,73,William & Mary,62
S Illinois,78,TN Martin,70
Samford,83,Florida A&M,63
San Diego,69,North Texas,68
San Diego St,66,Southern Miss,51
San Francisco,89,Utah,86
Santa Clara,87,Valparaiso,80
South Florida,81,Delaware,53
St Joseph's PA,92,Lafayette,63
St Mary's CA,74,S Carolina St,47
Stanford,86,Idaho,80
Temple,83,Yale,77
Tennessee,72,ETSU,68
Towson,76,Iona,69
Troy,92,Cornell,84
Tulsa,74,SF Austin,51
UC Irvine,62,UTEP,57
USC,83,Missouri St,75
UT Arlington,80,Loy Marymount,77
VA Commonwealth,78,ULM,65
Wake Forest,110,LSU,76
Washington,94,Seattle,72
Wichita St,89,S Dakota St,67
Winthrop,66,St Louis,55
Wright St,77,Murray St,62
Wyoming,72,DePaul,58
Auburn,70,Connecticut,67
Boston College,79,Providence,67
Cornell,78,SE Missouri St,62
Dayton,92,VMI,56
Harvard,57,Houston,56
Holy Cross,68,Marist,59
Loyola MD,69,MA Lowell,60
Minnesota,82,Arkansas St,75
Missouri St,69,DePaul,58
Oakland,86,Georgia,79
Oral Roberts,87,Richmond,72
San Diego St,82,Tulsa,63
San Francisco,66,Illinois St,58
Seton Hall,72,Rutgers,61
SF Austin,67,Southern Miss,64
St Peter's,65,St Francis NY,58
Texas St,69,Tulane,66
Troy,83,Chicago St,65
UMBC,62,James Madison,61
USC,94,Wyoming,92
Utah,66,Hawaii,52
West Virginia,92,N Kentucky,61
Wisconsin,90,Florida A&M,37
Hawaii,60,Southern Miss,46
Illinois St,68,Tulsa,56
San Diego St,62,San Francisco,48
Utah,74,SF Austin,66
Loy Marymount,70,Morgan St,49
Kent,63,Texas,58
Maryland,84,Illinois,59
Michigan St,75,Minnesota,74
Northwestern,87,Penn St,77
Santa Barbara,62,CS Bakersfield,60
SMU,58,Memphis,54
Syracuse,80,Cornell,56
VA Commonwealth,85,Howard,51
Wisconsin,72,Rutgers,52
Boise St,83,Utah St,80
Cincinnati,56,Temple,50
Clemson,87,UNC Wilmington,73
Colorado St,91,UNLV,77
Creighton,89,Seton Hall,75
Davidson,105,Hartford,75
Delaware,63,Iona,54
Denver,77,Oral Roberts,73
East Carolina,60,South Florida,49
FL Gulf Coast,75,FL Atlantic,62
Florida St,88,Wake Forest,72
Georgia Tech,59,NC A&T,52
Grand Canyon,71,Cal Poly SLO,64
Houston,62,Connecticut,46
Marquette,76,Georgetown,66
Massachusetts,74,Georgia St,65
Mercer,80,Kennesaw,76
Miami FL,78,Columbia,67
Missouri St,68,Northern Iowa,64
N Dakota St,80,S Dakota St,69
NC State,99,Rider,71
Nebraska,87,Indiana,83
Nevada,80,San Jose St,55
New Mexico,78,Fresno St,73
NJIT,64,Stony Brook,61
North Carolina,102,Monmouth NJ,74
Notre Dame,63,St Peter's,55
Oregon,89,UCLA,87
Penn,75,Drexel,67
Pittsburgh,112,Marshall,106
Princeton,77,Hampton,49
Purdue,89,Iowa,67
SE Louisiana,64,Southern Univ,53
UC Davis,72,Seattle,65
UCF,85,Tulane,72
ULM,81,Grambling,45
UNC Greensboro,95,Citadel,87
USC,70,Oregon St,63
Utah Valley,73,UC Riverside,64
Valparaiso,80,Chicago St,61
Villanova,68,DePaul,65
Virginia,61,Louisville,53
Virginia Tech,87,UMBC,70
WKU,97,Austin Peay,92
Wichita St,80,Indiana St,72
Wyoming,84,Air Force,72
Xavier,82,Providence,56
Alabama,83,Stetson,60
Ball St,73,North Florida,68
Bradley,60,S Illinois,51
Brown,66,Quinnipiac,61
BYU,89,Santa Clara,59
CS Northridge,82,Morgan St,61
Drake,102,Loyola-Chicago,98
E Michigan,98,Long Beach St,72
ETSU,92,Savannah St,71
F Dickinson,77,St Francis PA,65
Florida,81,Arkansas,72
Georgia,96,Auburn,84
Gonzaga,92,Pepperdine,62
Hawaii,77,Delaware St,66
High Point,71,Gardner Webb,64
Houston Bap,79,Sam Houston St,65
Illinois St,62,Evansville,50
Jacksonville St,90,TN Martin,72
Kentucky,99,Mississippi,76
Liberty,77,Presbyterian,61
Lipscomb,81,Missouri,76
Longwood,79,Campbell,77
MA Lowell,98,Cornell,96
Mississippi St,77,Missouri KC,54
Montana,74,Idaho St,62
Mt St Mary's,67,Long Island,65
N Colorado,69,CS Sacramento,53
N Kentucky,81,Detroit,70
New Orleans,75,Abilene Chr,66
Oakland,81,Wright St,62
Portland,80,Pacific,76
Portland St,99,North Dakota,62
Radford,80,UNC Asheville,77
Robert Morris,78,Sacred Heart,67
San Francisco,80,San Diego,74
South Dakota,86,NE Omaha,69
St Francis NY,80,Bryant,77
St John's,76,Butler,73
St Mary's CA,72,Loy Marymount,60
Tennessee,73,Texas A&M,63
Vanderbilt,96,LSU,89
Vermont,76,Siena,60
W Illinois,93,IPFW,91
W Michigan,80,Alabama A&M,50
Wagner,71,Central Conn,46
Weber St,87,Montana St,75
WI Green Bay,76,Cleveland St,75
William & Mary,65,Old Dominion,54
Winthrop,84,Charleston So,68
Youngstown St,88,WI Milwaukee,87
Albany NY,70,Columbia,67
Arizona,67,California,62
Arizona St,98,Stanford,93
Baylor,76,Oklahoma,50
Boston Univ,61,Holy Cross,55
Bowling Green,86,Norfolk St,77
Bucknell,59,Navy,55
Buffalo,79,Maine,60
C Michigan,90,Chicago St,82
Colgate,85,Lafayette,75
Dayton,66,La Salle,55
Duquesne,75,Fordham,72
E Washington,69,Idaho,62
Harvard,67,Howard,46
Iowa St,63,Texas Tech,56
Kansas,86,TCU,80
Kansas St,65,Texas,62
Lehigh,66,Army,59
Loyola MD,68,American Univ,66
Memphis,70,South Carolina,54
Michigan St,61,Northwestern,52
New Mexico St,79,UTEP,70
Oregon,84,USC,61
Penn,74,Fairfield,68
Rhode Island,90,St Louis,56
Seattle,80,Santa Barbara,76
St Bonaventure,89,Massachusetts,77
St Joseph's PA,68,G Washington,63
UCLA,76,Oregon St,63
VA Commonwealth,73,George Mason,64
Valparaiso,70,IL Chicago,59
West Virginia,92,Oklahoma St,75
Air Force,78,Utah St,73
Ark Little Rock,79,ULM,75
Arkansas St,74,ULL,71
Belmont,82,Austin Peay,77
Boise St,74,Colorado St,73
BYU,81,Loy Marymount,76
Campbell,69,Presbyterian,58
Cent Arkansas,67,Sam Houston St,65
Charlotte,101,North Texas,76
Chattanooga,64,W Carolina,48
Clemson,73,Wake Forest,68
Cleveland St,62,WI Milwaukee,53
Col Charleston,66,Elon,54
Dartmouth,63,New Hampshire,62
ETSU,102,VMI,75
F Dickinson,81,Robert Morris,77
Florida St,60,Virginia,58
Fresno St,77,Nevada,76
Furman,83,Citadel,68
Ga Southern,88,Georgia St,65
Georgia Tech,75,North Carolina,63
Gonzaga,81,Pacific,61
Hofstra,58,Delaware,56
Houston,70,South Florida,56
Iona,93,Marist,80
IPFW,102,Oral Roberts,91
IUPUI,89,W Illinois,71
Jacksonville,89,S Carolina St,85
Jacksonville St,57,E Illinois,56
James Madison,78,Drexel,67
Liberty,81,Charleston So,70
Long Island,74,Bryant,63
Longwood,60,High Point,55
Louisville,77,Indiana,62
Marshall,94,Florida Intl,70
McNeese St,79,Northwestern LA,72
Miami FL,81,NC State,63
Missouri St,81,Indiana St,75
Montana St,80,Idaho St,63
Mt St Mary's,57,Wagner,56
Murray St,92,Tennessee St,83
N Colorado,73,Portland St,59
N Dakota St,82,NE Omaha,70
New Orleans,73,TAM C. Christi,72
Nicholls St,94,Incarnate Word,84
North Dakota,90,CS Sacramento,82
Northeastern,84,William & Mary,64
Notre Dame,78,Pittsburgh,77
Oakland,76,N Kentucky,65
Old Dominion,62,Rice,56
Portland,73,Pepperdine,60
Princeton,81,Cal Poly SLO,52
Radford,82,Winthrop,80
Richmond,82,Davidson,80
Rider,93,Monmouth NJ,90
S Dakota St,73,South Dakota,72
Samford,73,UNC Greensboro,62
Santa Clara,72,San Francisco,58
SE Louisiana,75,Abilene Chr,53
SE Missouri St,81,E Kentucky,48
SF Austin,61,Houston Bap,51
SMU,75,East Carolina,44
Southern Utah,93,Northern Arizona,80
St Francis NY,86,Central Conn,77
St Francis PA,87,Sacred Heart,67
St Mary's CA,72,San Diego,60
Stony Brook,92,Brown,89
Tennessee Tech,72,Edwardsville,66
Texas St,67,Appalachian St,58
TN Martin,81,Morehead St,77
Tulsa,61,Connecticut,59
UC Davis,83,Utah Valley,69
UC Riverside,76,Grand Canyon,56
UCF,77,Temple,53
UNC Asheville,90,Gardner Webb,85
UNC Wilmington,76,Towson,67
UNLV,81,Wyoming,75
UT Arlington,90,Coastal Car,69
Villanova,80,Creighton,70
Virginia Tech,89,Duke,75
WKU,69,FL Atlantic,54
Weber St,84,Montana,81
WI Green Bay,90,Youngstown St,77
Wofford,88,Mercer,71
Wright St,85,Detroit,72
Xavier,81,Georgetown,76
Arizona,91,Stanford,52
Boston College,96,Syracuse,81
Butler,78,Providence,61
California,81,Arizona St,65
Cincinnati,92,Tulane,56
Evansville,70,Northern Iowa,58
Illinois,75,Ohio St,70
Illinois St,81,Loyola-Chicago,59
Iowa,86,Michigan,83
Louisiana Tech,79,Southern Miss,55
Minnesota,91,Purdue,82
MTSU,60,UAB,49
Nebraska,67,Maryland,65
New Mexico,68,San Diego St,62
Penn St,60,Rutgers,47
S Illinois,83,Drake,69
Seton Hall,69,Marquette,66
St John's,79,DePaul,73
UT San Antonio,67,UTEP,55
Utah,76,Colorado,60
Washington St,79,Washington,74
Wichita St,100,Bradley,66
Alabama St,73,Grambling,69
Albany NY,69,Cornell,59
American Univ,67,Colgate,64
Ark Pine Bluff,105,MS Valley St,91
Arkansas St,76,ULM,45
Boston Univ,75,Lehigh,61
Bucknell,84,Army,76
Canisius,82,Siena,79
Citadel,104,Wofford,103
Coastal Car,60,Texas St,53
Col Charleston,65,Delaware,56
Columbia,98,Maine,73
Fairfield,93,Iona,87
Furman,71,Mercer,69
Holy Cross,51,Navy,50
Jackson St,63,Alabama A&M,51
James Madison,64,Towson,44
Kennesaw,76,Tennessee St,73
Lafayette,78,Loyola MD,69
Lamar,78,Cent Arkansas,75
Marist,90,Manhattan,88
Marshall,89,FL Atlantic,72
McNeese St,69,SF Austin,54
Nicholls St,68,TAM C. Christi,64
Northeastern,75,Drexel,70
Old Dominion,55,North Texas,48
Quinnipiac,81,Niagara,78
Rice,89,Charlotte,70
Samford,70,W Carolina,65
SC Upstate,84,Missouri KC,75
SE Louisiana,74,Incarnate Word,63
South Alabama,76,Troy,75
Southern Univ,59,Prairie View,57
St Peter's,71,Monmouth NJ,61
TX Southern,67,Alcorn St,65
ULL,69,Ark Little Rock,52
UNC Greensboro,73,Chattanooga,68
UNC Wilmington,79,Elon,63
UT Arlington,84,Appalachian St,69
Vermont,82,Harvard,71
WKU,69,Florida Intl,66
William & Mary,95,Hofstra,93
Yale,88,Hartford,72
Akron,89,Bowling Green,84
Alabama,68,Mississippi St,58
Arkansas,82,Tennessee,78
CS Bakersfield,64,Dartmouth,60
Dayton,90,St Bonaventure,74
E Michigan,85,C Michigan,63
Florida,70,Mississippi,63
Kansas,90,Kansas St,88
Kent,100,Ball St,90
Kentucky,100,Texas A&M,58
Miami OH,69,N Illinois,67
North Carolina,89,Clemson,86
Ohio,89,W Michigan,58
Rhode Island,88,St Joseph's PA,58
TCU,60,Oklahoma,57
Texas Tech,77,West Virginia,76
Toledo,86,Buffalo,54
UCF,48,East Carolina,45
UNC Asheville,70,Liberty,57
Wake Forest,79,Boston College,66
Wisconsin,75,Indiana,68
Alcorn St,66,Prairie View,55
Baylor,65,Iowa St,63
Boise St,77,UNLV,59
Bradley,74,Evansville,63
Butler,66,Villanova,58
Campbell,92,Charleston So,82
Canisius,83,Quinnipiac,77
Colorado St,76,San Jose St,71
Coppin St,75,S Carolina St,59
Creighton,85,St John's,72
CS Northridge,82,UC Riverside,76
Duke,110,Georgia Tech,57
Florida A&M,78,Howard,66
Fresno St,85,Wyoming,70
Gardner Webb,70,Radford,59
George Mason,86,Massachusetts,81
Grambling,69,Alabama A&M,67
Hampton,68,NC A&T,53
Houston,64,Tulsa,61
Illinois St,74,Missouri St,71
IPFW,80,NE Omaha,78
Jackson St,63,Alabama St,60
La Salle,75,St Louis,54
Longwood,79,Presbyterian,76
Loyola-Chicago,77,Northern Iowa,66
LSU,88,Missouri,77
Michigan,72,Penn St,69
Michigan St,93,Rutgers,65
Morgan St,58,Norfolk St,56
NC State,104,Virginia Tech,78
Nevada,72,San Diego St,69
Niagara,71,Siena,66
NJIT,75,Brown,73
Notre Dame,77,Louisville,70
Oregon,83,Washington,61
Pittsburgh,88,Virginia,76
Providence,76,Georgetown,70
Richmond,80,Fordham,72
S Illinois,80,Indiana St,74
Savannah St,104,Bethune-Cookman,91
SMU,79,Temple,65
South Carolina,67,Georgia,61
South Dakota,75,Denver,69
Syracuse,70,Miami FL,55
Texas,82,Oklahoma St,79
TX Southern,82,Southern Univ,74
UC Davis,73,Santa Barbara,47
UC Irvine,82,Long Beach St,67
Utah St,79,New Mexico,75
VA Commonwealth,94,Duquesne,87
Vanderbilt,80,Auburn,61
W Illinois,82,S Dakota St,74
Washington St,75,Oregon St,62
Wichita St,90,Drake,65
Winthrop,80,High Point,74
Arizona,66,Utah,56
Arizona St,78,Colorado,77
Belmont,83,TN Martin,67
Boston Univ,71,Navy,53
Bryant,72,Mt St Mary's,71
Bucknell,69,American Univ,60
Cent Arkansas,81,Abilene Chr,76
Chattanooga,77,Wofford,66
Col Charleston,62,Towson,57
CS Fullerton,67,Hawaii,64
E Kentucky,78,Edwardsville,61
E Washington,82,Montana St,64
ETSU,115,Citadel,71
F Dickinson,70,Wagner,69
Fairfield,97,Manhattan,79
Furman,83,Samford,73
G Washington,73,Davidson,69
Gonzaga,95,San Francisco,80
Holy Cross,67,Colgate,61
Houston Bap,81,SE Louisiana,74
Incarnate Word,84,Northwestern LA,80
James Madison,62,Hofstra,54
Lafayette,79,Army,74
Long Island,65,Robert Morris,54
Louisiana Tech,64,UTEP,44
Loyola MD,84,Lehigh,83
MA Lowell,85,Albany NY,79
Marshall,90,Old Dominion,86
Memphis,70,Connecticut,61
Mercer,68,VMI,50
Minnesota,70,Northwestern,66
Montana,70,Idaho,57
Morehead St,85,E Illinois,75
MTSU,80,Rice,77
Murray St,76,Jacksonville St,63
N Dakota St,93,IUPUI,89
N Kentucky,83,Youngstown St,70
Nebraska,93,Iowa,90
New Mexico St,77,Missouri KC,64
New Orleans,66,Lamar,62
North Dakota,68,Northern Arizona,63
Northeastern,90,Delaware,54
Pacific,56,San Diego,53
Pepperdine,71,Loy Marymount,70
Purdue,76,Ohio St,75
Sacred Heart,64,Central Conn,62
Sam Houston St,74,McNeese St,67
Santa Clara,70,Portland,42
Southern Miss,77,UT San Antonio,59
Southern Utah,78,N Colorado,76
St Francis PA,81,St Francis NY,56
St Mary's CA,81,BYU,68
Stony Brook,59,New Hampshire,56
Tennessee St,65,SE Missouri St,62
Tennessee Tech,76,Austin Peay,67
UTRGV,83,Chicago St,64
UAB,54,North Texas,52
UCLA,81,California,71
UMBC,85,Binghamton,71
UNC Wilmington,90,Drexel,72
USC,72,Stanford,56
Vermont,90,Maine,77
WKU,82,Charlotte,80
William & Mary,88,Elon,85
Wright St,55,Cleveland St,51
Akron,66,W Michigan,59
Dayton,67,Rhode Island,64
IL Chicago,78,Detroit,64
Monmouth NJ,92,Iona,74
Oakland,78,Valparaiso,66
Ohio,85,Kent,67
Rider,73,Marist,62
WI Green Bay,80,WI Milwaukee,74
Abilene Chr,69,SF Austin,60
Alabama,59,Vanderbilt,56
Alabama A&M,79,MS Valley St,76
Arizona,82,Colorado,73
Ark Little Rock,76,Appalachian St,68
Ark Pine Bluff,71,Alabama St,63
Baylor,61,Oklahoma St,57
Belmont,87,SE Missouri St,75
Boise St,78,San Diego St,66
Bowling Green,76,Ball St,71
Buffalo,77,E Michigan,68
Butler,85,Georgetown,76
BYU,91,Pacific,62
Chattanooga,80,Furman,64
Cincinnati,67,Houston,58
Citadel,79,VMI,74
Coastal Car,80,Arkansas St,65
Col Charleston,77,Hofstra,71
Colorado St,85,Air Force,58
Columbia,66,Howard,48
Creighton,78,Providence,64
CS Bakersfield,78,Seattle,71
CS Northridge,70,CS Fullerton,65
Delaware St,55,NC A&T,53
Duke,93,Boston College,82
E Illinois,74,E Kentucky,60
Elon,72,Towson,61
ETSU,67,Mercer,58
F Dickinson,87,Bryant,84
FL Atlantic,73,Florida Intl,64
FL Gulf Coast,89,Stetson,88
Florida,83,Tennessee,70
Florida A&M,54,Coppin St,53
Florida St,93,Virginia Tech,78
Ga Southern,86,Troy,82
Gardner Webb,79,Charleston So,75
Georgia,71,Missouri,66
Georgia St,78,South Alabama,77
Grand Canyon,82,Utah Valley,72
Harvard,74,Dartmouth,58
Houston Bap,60,McNeese St,49
Idaho,83,Montana St,81
Illinois St,77,Indiana St,58
Indiana,96,Illinois,80
Iowa St,79,Texas,70
IPFW,87,Denver,83
Jacksonville St,71,Austin Peay,68
Kansas,85,Texas Tech,68
Kansas St,75,Oklahoma,64
Kentucky,97,Arkansas,71
La Salle,88,Duquesne,81
Lamar,74,SE Louisiana,54
Liberty,61,Campbell,54
Lipscomb,82,Kennesaw,79
Long Beach St,70,UC Riverside,64
Long Island,83,St Francis PA,70
Louisville,65,Georgia Tech,50
Loy Marymount,66,Santa Clara,56
Loyola-Chicago,78,Bradley,62
Marshall,110,Charlotte,93
Maryland,77,Michigan,70
Mississippi,88,Auburn,85
Mississippi St,95,LSU,78
Missouri KC,83,UTRGV,79
Montana,65,E Washington,59
Morehead St,73,Edwardsville,65
Morgan St,69,Bethune-Cookman,63
Mt St Mary's,77,Central Conn,68
MTSU,79,North Texas,68
N Colorado,83,Northern Arizona,79
N Illinois,87,C Michigan,83
N Kentucky,83,Cleveland St,75
NE Omaha,101,S Dakota St,93
Nevada,105,New Mexico,104
New Mexico St,78,Chicago St,62
New Orleans,87,Incarnate Word,72
North Dakota,95,Southern Utah,65
North Florida,80,Jacksonville,64
Northeastern,64,James Madison,54
Notre Dame,75,Clemson,70
Old Dominion,79,WKU,67
Oregon,85,Washington St,66
Penn St,72,Michigan St,63
Portland St,83,CS Sacramento,76
Princeton,61,Penn,52
Quinnipiac,81,Manhattan,72
Radford,76,Presbyterian,63
Robert Morris,62,St Francis NY,58
S Illinois,75,Missouri St,67
Sam Houston St,74,Nicholls St,61
San Diego,76,Pepperdine,68
San Jose St,69,Fresno St,62
SC Upstate,75,NJIT,65
Seton Hall,87,DePaul,56
Siena,56,St Peter's,54
SMU,84,South Florida,65
South Carolina,79,Texas A&M,68
South Dakota,85,IUPUI,74
Southern Miss,73,UTEP,65
Southern Univ,87,Grambling,79
St Bonaventure,82,George Mason,72
St Joseph's PA,70,Fordham,55
St Mary's CA,63,San Francisco,52
Syracuse,77,Pittsburgh,66
TAM C. Christi,99,Northwestern LA,82
Temple,81,East Carolina,62
Tennessee St,76,TN Martin,65
Tennessee Tech,71,Murray St,67
Texas St,81,UT Arlington,73
Toledo,91,Miami OH,76
TX Southern,87,Prairie View,82
UAB,88,Rice,81
UC Davis,68,Cal Poly SLO,64
UC Irvine,84,Hawaii,56
ULL,69,ULM,60
UNC Asheville,88,High Point,58
UNC Greensboro,76,W Carolina,57
UNC Wilmington,91,Delaware,81
UT San Antonio,69,Louisiana Tech,68
Utah,88,Arizona St,82
Utah St,79,UNLV,63
VA Commonwealth,81,Massachusetts,64
Villanova,93,Marquette,81
W Illinois,86,Oral Roberts,71
Wagner,75,Sacred Heart,64
Washington,87,Oregon St,61
West Virginia,82,TCU,70
Winthrop,83,Longwood,65
Xavier,97,St John's,82
Youngstown St,80,Wright St,75
Army,66,Loyola MD,57
Boston Univ,91,Lafayette,75
Bucknell,68,Holy Cross,49
California,74,USC,73
Connecticut,64,UCF,49
Davidson,77,St Louis,66
Drake,88,Evansville,76
Iona,98,Canisius,75
Iowa,68,Rutgers,62
Lehigh,79,American Univ,73
MA Lowell,79,Binghamton,75
Memphis,80,Tulane,59
Minnesota,78,Ohio St,68
Monmouth NJ,71,Marist,64
Navy,67,Colgate,55
North Carolina,107,NC State,56
Northwestern,74,Nebraska,66
Oakland,58,IL Chicago,57
Purdue,66,Wisconsin,55
Richmond,77,G Washington,70
Rider,89,Niagara,78
Samford,91,Wofford,89
Stony Brook,72,Albany NY,70
UCLA,89,Stanford,75
UMBC,75,Maine,64
Valparaiso,81,Detroit,74
Vermont,85,Hartford,54
Virginia,79,Wake Forest,62
Wichita St,80,Northern Iowa,66
Appalachian St,70,Arkansas St,57
Ark Pine Bluff,81,Alabama A&M,65
Coastal Car,66,Ark Little Rock,63
Coppin St,76,Bethune-Cookman,73
Delaware St,69,NC Central,68
Ga Southern,84,South Alabama,79
Georgetown,83,St John's,55
Grambling,67,Alcorn St,62
Hampton,84,Savannah St,80
Jackson St,65,Southern Univ,61
MD E Shore,99,NC A&T,88
MS Valley St,73,Alabama St,70
St Peter's,58,Quinnipiac,54
Troy,80,Georgia St,77
Akron,89,C Michigan,85
Auburn,77,Missouri,72
Ball St,85,Miami OH,74
Canisius,86,Fairfield,72
DePaul,64,Providence,63
E Michigan,81,Bowling Green,53
Florida,80,Alabama,67
Florida St,88,Duke,72
George Mason,75,St Joseph's PA,67
Kansas,81,Oklahoma,70
Kentucky,87,Vanderbilt,81
Manhattan,78,Niagara,69
Maryland,75,Indiana,72
Mississippi St,84,Arkansas,78
Morgan St,62,Florida A&M,59
N Illinois,74,Kent,70
Ohio,74,Buffalo,72
San Diego St,76,San Jose St,61
SE Missouri St,83,Tennessee Tech,78
Texas Tech,66,Kansas St,65
UNLV,71,New Mexico,66
Villanova,79,Xavier,54
Virginia Tech,83,Syracuse,73
W Michigan,90,Toledo,74
West Virginia,89,Baylor,68
WI Green Bay,80,N Kentucky,71
Air Force,81,Fresno St,72
Alcorn St,63,Jackson St,50
Boston College,74,NC State,66
Boston Univ,76,American Univ,66
Bradley,72,Northern Iowa,61
Campbell,76,Gardner Webb,60
Charleston So,70,Radford,64
Chattanooga,83,Citadel,73
Colgate,79,Army,76
Connecticut,73,Temple,59
Creighton,75,Butler,64
CS Northridge,89,Long Beach St,82
Denver,84,W Illinois,70
Drake,87,Indiana St,70
Duquesne,73,St Louis,66
Fordham,60,Davidson,54
Georgia,69,Mississippi,47
Holy Cross,71,Lafayette,54
Houston,74,East Carolina,58
Illinois,85,Michigan,69
Illinois St,60,S Illinois,53
Iowa St,96,Oklahoma St,86
Lamar,87,Incarnate Word,72
Lehigh,82,Bucknell,71
Liberty,62,High Point,58
Louisville,85,Pittsburgh,80
Maine,73,MA Lowell,71
Marquette,89,Seton Hall,86
Massachusetts,67,Dayton,55
Mercer,68,Samford,65
Michigan St,65,Minnesota,47
Missouri St,55,Evansville,51
N Dakota St,70,South Dakota,69
Navy,75,Loyola MD,62
NC Central,69,MD E Shore,52
NE Omaha,79,IUPUI,71
New Hampshire,75,Albany NY,67
Norfolk St,80,Savannah St,76
North Carolina,93,Wake Forest,87
Richmond,78,St Bonaventure,61
